===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2018-03-18 18:00:17
count workspace : e:\Projects\EdForge\ISP_Tutor\EFTutorEngineOne
total files : 454
total code lines : 46813
total comment lines : 24252
total blank lines : 14082

.gitignore, code is 1, comment is 3, blank is 0.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\kt\CWOZProdSys.as, code is 343, comment is 127, blank is 30.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\mongo\CMongo.as, code is 269, comment is 110, blank is 153.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\mongo\CObject.as, code is 41, comment is 31, blank is 22.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\mongo\MObject.as, code is 10, comment is 30, blank is 2.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\navigation\CWOZNavBack.as, code is 15, comment is 29, blank is 5.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\navigation\CWOZNavNext.as, code is 15, comment is 29, blank is 4.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\navigation\CWOZNavPanel.as, code is 64, comment is 40, blank is 24.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CAdminSocketManager.as, code is 265, comment is 155, blank is 147.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CDDnsLoader.as, code is 111, comment is 51, blank is 51.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CFXFileLoader.as, code is 86, comment is 29, blank is 30.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CFXSwfLoader.as, code is 77, comment is 33, blank is 26.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CLogManager.as, code is 1134, comment is 644, blank is 654.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CLogManagerType.as, code is 16, comment is 32, blank is 5.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CLogQueue.as, code is 328, comment is 211, blank is 153.
e:\Projects\Projects FlashBuilder\TED2.1.0\Classes\cmu\woz\network\CLogSocket.as, code is 47, comment is 39, blank is 30.
